"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","28652","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","24579","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","25511","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","28369","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","29313","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","28435","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","28866","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","29179","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","28764","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","27746","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","27315","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","26041","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","33642","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","24531","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","22747","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Leather and allied product manufacturing [316]","Dollars","81","thousands","3","v800457","1.1.2.80","7004","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2361667","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2541329","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2472977","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2473668","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Paper manufacturing [322]","Dollars","81","thousands","3","v800458","1.1.2.104","2439627","","","","0"
