"REF_DATE","GEO","DGUID","Wages","Type of work","North American Industry Classification System (NAICS)","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Services-producing sector","Both sexes","15 years and over","Current dollars","75","units","0","v2132594","1.2.1.8.1.1","30.35","","","","2"
"2019-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","21.11","","","","2"
"2019-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","20.93","","","","2"
"2019-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","21.15","","","","2"
"2019-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","21.13","","","","2"
"2019-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","21.31","","","","2"
"2019-06","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","21.54","","","","2"
"2019-07","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","21.55","","","","2"
"2019-08","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","21.46","","","","2"
"2019-09","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","21.80","","","","2"
"2019-10","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","21.51","","","","2"
"2019-11","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","21.56","","","","2"
"2019-12","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","21.43","","","","2"
"2020-01","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","21.62","","","","2"
"2020-02","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","21.47","","","","2"
"2020-03","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","22.26","","","","2"
"2020-04","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","23.22","","","","2"
"2020-05","Canada","2016A000011124","Average hourly wage rate","Both full- and part-time employees","Wholesale and retail trade [41, 44-45]","Both sexes","15 years and over","Current dollars","75","units","0","v2132609","1.2.1.9.1.1","23.10","","","","2"
